MCC_OBN_ID,MCC_TIPO_MOVIMIENTO,MCC_IMPORTE,MCC_FECHA_BAJA,MCC_TIPO_ORIGEN,MCC_CCC_ID,MCC_FECHA_MOVIMIENTO,OBN_PERIODO,OBN_CUOTA,OBN_TIPO_OBJETO_ID,OBN_OBJETO_ID,FECHA_PAGO,FECHA_PROCESO,OBJETO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,D,11.4,17/04/2019,PSV,136,15/04/2019,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,D,12.88,17/04/2019,PSV,480,15/04/2019,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,C,12.88,17/04/2019,PSV,480,15/04/2019,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,C,12.88,01/01/1900,PSV,480,15/04/2019,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,D,5.52,17/04/2019,PSV,480,15/04/2019,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,C,5.52,01/01/1900,PSV,480,15/04/2019,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,C,5.52,17/04/2019,PSV,480,15/04/2019,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,D,12.88,01/01/1900,NULO,600,14/05/2014,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,D,5.52,01/01/1900,NULO,600,19/11/2014,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,C,12.88,01/01/1900,PAO,CAC,15/04/2019,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,C,5.52,01/01/1900,PAO,CAC,15/04/2019,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000018823363,D,45.36,01/01/1900,ETA,132,07/09/2017,2014,20,A,8448472,26/04/2019,03/05/2019,039KDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000018823363,C,45.36,01/01/1900,PSV,132,26/04/2019,2014,20,A,8448472,26/04/2019,03/05/2019,039KDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000018823363,C,51.58,01/01/1900,PSV,136,26/04/2019,2014,20,A,8448472,26/04/2019,03/05/2019,039KDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000018823363,D,51.58,01/01/1900,PSV,136,26/04/2019,2014,20,A,8448472,26/04/2019,03/05/2019,039KDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000018823363,C,41.77,01/01/1900,PSV,480,26/04/2019,2014,20,A,8448472,26/04/2019,03/05/2019,039KDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000018823363,D,41.77,01/01/1900,NULO,600,17/09/2014,2014,20,A,8448472,26/04/2019,03/05/2019,039KDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120000000022363767,D,42.05,01/01/1900,ETA,132,21/09/2017,2014,10,A,8947487,26/04/2019,03/05/2019,047HWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120000000022363767,C,42.05,01/01/1900,PSV,132,26/04/2019,2014,10,A,8947487,26/04/2019,03/05/2019,047HWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120000000022363767,C,44.43,01/01/1900,PSV,136,26/04/2019,2014,10,A,8947487,26/04/2019,03/05/2019,047HWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120000000022363767,D,44.43,01/01/1900,PSV,136,26/04/2019,2014,10,A,8947487,26/04/2019,03/05/2019,047HWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120000000022363767,C,34.3,01/01/1900,PSV,480,26/04/2019,2014,10,A,8947487,26/04/2019,03/05/2019,047HWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120000000022363767,D,34.3,01/01/1900,NULO,600,14/05/2014,2014,10,A,8947487,26/04/2019,03/05/2019,047HWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017117320,C,15.06,01/01/1900,PAO,130,11/04/2019,2014,10,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017117320,D,15.06,01/01/1900,PSV,130,11/04/2019,2014,10,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017117320,C,15.06,25/04/2019,FAO,130,11/04/2019,2014,10,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017117320,D,15.06,01/01/1900,PAO,130,11/04/2019,2014,10,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017117320,D,15.06,25/04/2019,FAO,130,11/04/2019,2014,10,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017117320,C,15.06,01/01/1900,PSV,130,11/04/2019,2014,10,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017117320,D,30.12,25/04/2019,PSV,130,11/04/2019,2014,10,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017117320,C,30.12,25/04/2019,PSV,130,11/04/2019,2014,10,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873680282,D,5.77,25/04/2019,FAO,130,11/04/2019,2014,50,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873680282,C,5.77,25/04/2019,FAO,130,11/04/2019,2014,50,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873680282,C,5.77,01/01/1900,PAO,130,11/04/2019,2014,50,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873680282,D,5.77,01/01/1900,PAO,130,11/04/2019,2014,50,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873680282,D,5.77,01/01/1900,PSV,130,11/04/2019,2014,50,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873680282,C,5.77,01/01/1900,PSV,130,11/04/2019,2014,50,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873680282,C,11.54,25/04/2019,PSV,130,11/04/2019,2014,50,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873680282,D,11.54,25/04/2019,PSV,130,11/04/2019,2014,50,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017117320,D,8.4,25/04/2019,PSV,480,11/04/2019,2014,10,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017117320,C,8.4,01/01/1900,PSV,480,11/04/2019,2014,10,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017117320,C,8.4,25/04/2019,PSV,480,11/04/2019,2014,10,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873680282,C,3.6,01/01/1900,PSV,480,11/04/2019,2014,50,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873680282,D,3.6,25/04/2019,PSV,480,11/04/2019,2014,50,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873680282,C,3.6,25/04/2019,PSV,480,11/04/2019,2014,50,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017117320,D,8.4,01/01/1900,NULO,600,14/05/2014,2014,10,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873680282,D,3.6,01/01/1900,NULO,600,19/11/2014,2014,50,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017117320,C,8.4,01/01/1900,PAO,CAC,11/04/2019,2014,10,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873680282,C,3.6,01/01/1900,PAO,CAC,11/04/2019,2014,50,A,2288284,11/04/2019,03/05/2019,049CAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000016820831,D,49.49,01/01/1900,ETA,132,01/05/2019,2014,10,A,7744084,01/01/1900,03/05/2019,050HTW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000016820832,D,46.06,01/01/1900,ETA,132,01/05/2019,2014,20,A,7744084,01/01/1900,03/05/2019,050HTW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000016820831,D,27.3,01/01/1900,NULO,600,14/05/2014,2014,10,A,7744084,01/01/1900,03/05/2019,050HTW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000016820832,D,27.3,01/01/1900,NULO,600,17/09/2014,2014,20,A,7744084,01/01/1900,03/05/2019,050HTW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017288838,C,66.45,01/01/1900,PSV,130,16/04/2019,2014,10,A,8448208,16/04/2019,03/05/2019,051CBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017288838,C,66.45,01/01/1900,PAO,130,16/04/2019,2014,10,A,8448208,16/04/2019,03/05/2019,051CBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
